,Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Valor de mercado (Transfermarkt),Vencimiento contrato,Partidos jugados,Minutos jugados,Goles,xG,Asistencias,xA,Duelos/90,Duelos ganados %,País de nacimiento,Pasaporte,Pie,Altura,Peso,En prestamo,Acciones defensivas realizadas/90,Duelos defensivos/90,Duelos defensivos ganados %,Duelos aéreos/90,Duelos aéreos ganados %,Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,Tiros a la portería %,Goles hechos %,Asistencias/90,Centros/90,Precisión centros %,Centros desde la banda izquierda/90,Precisión centros desde la banda izquierda %,Centros desde la banda derecha/90,Precisión centros desde la banda derecha %,Centros al área pequeña/90,Regates/90,Regates realizados %,Duelos atacantes/90,Duelos atacantes ganados %,Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos/90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,Precisión pases %,Pases hacia adelante/90,Precisión pases hacia adelante %,Pases hacia atrás/90,Precision pases hacia atrás %,Pases laterales/90,Precisión pases laterales %,Pases cortos / medios/90,Precisión pases cortos / medios %,Pases largos/90,Precisión pases largos %,"Longitud media pases, m","Longitud media pases largos, m",xA/90,Second assists/90,Third assists/90,Desmarques/90,Precisión desmarques %,Jugadas claves/90,Pases en el último tercio/90,Precisión pases en el último tercio %,Pases al área de penalti/90,Pases hacía el área pequeña %,Pases en profundidad/90,Precisión pases en profundidad %,Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,Precisión pases progresivos %,Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas/90,Paradas %,xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Tiros libres/90,Tiros libres directos/90,Tiros libres directos %,Córneres/90,Penaltis a favor,Penaltis realizados %,Competición,Temporada,Pais_Comp,Asistencias/90.1,Duelos aéreos/90.1,Flag,Posición Principal,Fecha_Actualizacion
3365,David Muñoz,Ourense CF,Ourense CF,"CF, LCMF, AMF",21,0,,30,1543,1,2.49,1,0.37,19.6,41.07,Spain,Spain,derecho,0,0,si,5.66,4.37,56.0,3.32,36.84,0.23,0.33,0.41,2.97,4.23,1.63,10,0.58,0,0.0,1.57,0.06,1,0.06,0.15,0,0.0,25,1.46,32.0,4.0,0.06,0.58,20.0,0.29,0.0,0.29,40.0,0.29,1.98,50.0,8.57,36.05,1.22,1.4,0.41,14.06,1.57,1.75,20.65,70.9,6.47,54.95,5.31,89.01,5.66,69.07,18.08,77.74,2.04,22.86,18.09,21.65,0.02,0.0,0.06,0.06,0.0,0.12,4.08,54.29,1.22,33.33,0.23,25.0,0.23,0.17,2.97,60.78,0,,0,,0,0.0,0.0,0.0,,,0.12,,0.0,0.0,0.0,0.0,0,0.0,1RFEF,2025-2026,ESP,0.12,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Delantero,2026-08-01 16:29:15.671466
3366,Jorge Luis,Betis Deportivo,Betis Deportivo,CF,20,0,,18,739,0,0.97,1,0.72,24.48,29.85,Spain,Spain,,0,0,no,3.78,4.63,50.0,3.9,28.13,0.12,0.18,0.0,1.34,2.02,2.07,4,0.49,1,0.12,1.46,0.0,0,0.0,0.12,0,0.0,10,1.22,40.0,0.0,0.12,0.49,0.0,0.37,0.0,0.12,0.0,0.0,2.31,36.84,12.06,25.25,2.19,1.22,0.0,11.69,1.46,1.71,19.24,75.95,2.44,55.0,7.31,86.67,4.38,72.22,18.02,78.38,0.73,66.67,14.32,8.48,0.09,0.0,0.0,0.12,100.0,0.37,1.34,45.45,0.61,60.0,0.24,50.0,0.37,0.0,1.71,50.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0,0.0,1RFEF,2025-2026,ESP,0.73,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Delantero,2026-08-01 16:29:15.671466
3367,V. Răfăilă,Betis Deportivo,Betis Deportivo,GK,21,0,2026-06-30,1,106,0,0.0,0,0.0,0.0,0.0,Romania,Romania,izquierdo,197,86,si,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,2.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.89,0.0,0.0,22.08,92.31,18.68,90.91,0.0,0.0,2.55,100.0,16.98,100.0,5.09,66.67,24.76,44.08,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94,85.71,2,1.7,3,2.55,0,33.33,1.93,1.64,-0.07,-0.059,0.0,0.0,,,,0.0,0,0.0,1RFEF,2025-2026,ESP,0.0,0.0,https://images.fotmob.com/image_resources/logo/teamlogo/9730.png,Portero,2026-08-01 16:29:15.671466
3368,T. Guzman,Marbella,Marbella,"RCMF, DMF",19,0,,15,590,0,0.08,0,0.04,26.54,53.45,Italy,Italy,,0,0,no,10.22,10.53,57.97,2.9,47.37,0.76,1.18,0.31,3.36,5.2,1.68,3,0.46,0,0.0,1.83,0.0,0,0.0,0.01,0,0.0,3,0.46,33.33,0.0,0.0,0.61,50.0,0.0,0.0,0.46,33.33,0.0,2.14,64.29,10.07,50.0,0.46,0.92,0.15,19.53,0.15,3.36,32.49,84.04,10.07,63.64,6.71,97.73,10.07,93.94,29.59,88.14,2.44,37.5,18.85,22.26,0.01,0.0,0.15,0.0,0.0,0.31,4.12,66.67,0.92,50.0,0.0,0.0,0.15,0.31,4.88,59.38,0,,0,,0,0.0,0.0,0.0,,,0.76,,0.0,0.0,0.0,0.0,0,0.0,1RFEF,2025-2026,ESP,0.15,,https://images.fotmob.com/image_resources/logo/teamlogo/8204.png,Centrocampista,2026-08-01 16:29:15.671466
3369,ARNAUDIS,Sevilla C,Sevilla Atlético,LCMF,19,0,,1,33,0,0.0,0,0.21,,,Spain,Spain,unknown,0,0,no,,,,,,,0.0,,,0.0,,1,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.34,0.0,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,0,0.0,1RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Centrocampista,2026-08-01 16:29:15.671466
3370,Ibra sow,Sevilla Atlético,Sevilla Atlético,"CF, RW, LW",19,0,2029-06-30,29,1536,1,2.86,1,0.85,17.99,28.34,Senegal,Senegal,derecho,184,76,no,3.11,2.52,46.51,5.63,30.21,0.23,0.32,0.06,1.7,2.31,1.35,2,0.12,1,0.06,1.11,0.06,1,0.06,0.17,0,0.0,15,0.88,53.33,6.667,0.06,0.47,50.0,0.12,50.0,0.35,50.0,0.18,0.88,46.67,6.5,21.62,1.82,0.47,0.0,5.33,1.05,0.7,9.9,73.37,1.76,56.67,2.93,84.0,2.58,79.55,9.32,75.47,0.12,0.0,12.26,2.41,0.05,0.0,0.0,0.0,0.0,0.23,0.59,70.0,0.59,60.0,0.0,0.0,0.29,0.23,0.94,56.25,0,,0,,0,0.0,0.0,0.0,,,0.18,,0.0,0.0,0.0,0.0,0,0.0,1RFEF,2025-2026,ESP,0.41,,https://images.fotmob.com/image_resources/logo/teamlogo/6395.png,Delantero,2026-08-01 16:29:15.671466
3371,Iker Muñoz,Sevilla Atlético,Sevilla Atlético,RCB,22,0,2027-06-30,31,3092,1,1.06,0,0.02,13.27,63.82,Spain,Spain,derecho,186,78,no,8.79,5.85,70.65,2.91,62.0,0.55,0.77,0.38,4.1,5.73,1.05,11,0.32,0,0.0,0.38,0.03,1,0.03,0.03,1,0.03,16,0.47,31.25,6.25,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.03,0.38,61.54,2.07,59.15,0.47,0.64,0.12,28.18,0.06,1.05,42.99,87.27,17.9,76.59,2.47,95.29,19.09,95.58,35.8,93.74,7.16,55.28,22.66,41.57,0.0,0.0,0.0,0.03,0.0,0.03,6.11,67.14,0.44,13.33,0.44,33.33,0.09,0.0,8.91,76.47,0,,0,,0,0.0,0.0,0.0,,,2.01,,0.0,0.0,0.0,0.0,0,0.0,1RFEF,2025-2026,ESP,0.03,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Central,2026-08-01 16:29:15.671466
3372,N. Mayo,Guadalajara,Guadalajara,"LB, RW",20,0,,4,155,0,0.0,1,0.45,20.9,36.11,Spain,Spain,,0,0,no,9.29,10.45,44.44,4.65,0.0,1.16,1.5,1.16,3.48,4.5,1.74,1,0.58,0,0.0,0.58,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.58,0.58,100.0,0.0,0.0,0.58,100.0,0.58,1.16,0.0,2.9,40.0,1.16,0.0,0.0,9.29,0.58,1.74,13.35,69.57,6.39,54.55,2.32,100.0,2.32,50.0,8.13,100.0,4.65,12.5,31.82,39.61,0.26,0.0,0.0,0.0,0.0,0.58,4.06,28.57,0.0,0.0,0.0,0.0,0.0,0.58,1.74,33.33,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0,0.0,1RFEF,2025-2026,ESP,0.58,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Lateral,2026-08-01 16:29:15.671466
3373,Rubén Expósito,Guadalajara,Guadalajara,"LAMF, LW, LWF",21,0,,3,73,0,0.44,0,0.0,29.59,41.67,Spain,Spain,,0,0,no,11.1,14.79,66.67,6.16,40.0,1.23,2.0,0.0,0.0,0.0,2.47,1,1.23,0,0.0,1.23,0.0,0,0.0,0.54,0,0.0,3,3.7,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,7.4,0.0,4.93,0.0,0.0,17.26,1.23,0.0,23.42,84.21,4.93,75.0,7.4,100.0,2.47,50.0,22.19,83.33,1.23,100.0,13.06,6.36,0.0,1.23,0.0,0.0,0.0,0.0,1.23,0.0,1.23,100.0,0.0,0.0,1.23,0.0,1.23,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,1.23,0,0.0,1RFEF,2025-2026,ESP,0.0,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Extremo,2026-08-01 16:29:15.671466
3374,Rodrigo Rocafort,Atlético Sanluqueño,Atlético Sanluqueño,GK,20,0,,1,100,0,0.0,0,0.0,0.0,0.0,Spain,Spain,derecho,203,0,no,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,6.32,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,0.0,29.7,87.88,10.8,83.33,0.0,0.0,18.0,95.0,22.5,92.0,7.2,75.0,33.12,52.79,0.0,0.0,0.0,0.0,0.0,0.0,3.6,50.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,72.73,2,1.8,7,6.3,0,71.43,2.18,1.96,0.18,0.162,0.0,0.9,,,,0.0,0,0.0,1RFEF,2025-2026,ESP,0.0,0.0,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Portero,2026-08-01 16:29:15.671466
3375,Iván del Olmo,Ibiza,Ibiza,"RW, LCMF, RAMF",22,0,2027-06-30,19,794,0,0.9,1,0.71,15.76,51.8,Spain,Spain,derecho,181,71,no,7.82,7.93,58.57,1.02,33.33,0.11,0.18,0.23,3.06,4.79,1.13,2,0.23,0,0.0,1.59,0.0,0,0.0,0.1,0,0.0,10,1.13,40.0,0.0,0.11,1.02,11.11,0.45,25.0,0.57,0.0,0.23,1.59,64.29,5.67,46.0,1.13,0.45,0.11,25.28,0.23,1.13,36.61,83.9,9.63,82.35,7.25,93.75,13.6,84.17,33.66,86.87,2.04,66.67,16.58,23.98,0.08,0.11,0.0,0.11,0.0,0.11,5.1,84.44,1.59,42.86,0.34,66.67,0.91,0.11,4.76,83.33,0,,0,,0,0.0,0.0,0.0,,,0.34,,0.23,0.0,0.0,0.79,0,0.0,1RFEF,2025-2026,ESP,0.57,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Extremo,2026-08-01 16:29:15.671466
3376,Jeremy De León,Hércules,Hércules,"RW, RAMF",22,0,,23,747,0,1.53,1,0.43,25.18,40.67,Puerto Rico,Puerto Rico,izquierdo,175,67,si,6.99,6.51,59.26,2.41,40.0,0.72,1.25,0.12,2.41,4.17,1.45,2,0.24,1,0.12,3.86,0.0,0,0.0,0.18,0,0.0,16,1.93,37.5,0.0,0.12,1.69,42.86,0.0,0.0,1.69,42.86,0.12,5.42,44.44,12.41,34.95,2.77,5.06,0.6,14.58,2.17,2.41,19.4,77.02,4.22,51.43,7.23,95.0,3.98,75.76,17.47,81.38,0.24,0.0,13.78,3.04,0.05,0.0,0.0,0.0,0.0,0.48,1.33,54.55,1.93,56.25,0.0,0.0,0.96,0.84,3.01,72.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.36,0,0.0,1RFEF,2025-2026,ESP,1.2,,,Extremo,2026-08-01 16:29:15.671466
3377,David Hidalgo,Ibiza,Ibiza,"LCMF, RCMF",22,0,2028-06-30,24,1800,1,1.63,0,0.46,15.55,51.45,Spain,Spain,derecho,0,0,si,7.55,6.9,57.25,2.5,42.0,0.4,0.55,0.35,3.2,4.36,1.85,7,0.35,0,0.0,0.8,0.05,1,0.05,0.08,0,0.0,12,0.6,25.0,8.333,0.0,0.2,25.0,0.1,0.0,0.1,50.0,0.0,0.8,68.75,3.9,48.72,0.3,0.55,0.1,19.75,0.15,0.9,29.5,82.37,9.0,68.89,4.65,91.4,12.5,89.6,25.5,87.45,3.8,51.32,18.32,31.4,0.02,0.0,0.0,0.05,100.0,0.05,4.7,68.09,0.75,33.33,0.4,37.5,0.25,0.05,4.85,70.1,0,,0,,0,0.0,0.0,0.0,,,0.75,,0.0,0.0,0.0,0.05,0,0.0,1RFEF,2025-2026,ESP,0.3,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Centrocampista,2026-08-01 16:29:15.671466
3378,T. Paradowski,Ibiza,Ibiza,GK,21,0,2027-06-30,2,135,0,0.0,0,0.0,0.0,0.0,Réunion,Réunion,derecho,180,74,no,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.88,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33,0.0,0.0,17.33,96.15,9.33,92.86,0.0,0.0,7.33,100.0,13.33,100.0,4.0,83.33,30.12,47.93,0.0,0.0,0.0,0.0,0.0,0.0,1.33,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,83.33,1,0.67,2,1.33,0,50.0,0.7,0.47,-0.3,-0.2,0.0,0.67,,,,0.0,0,0.0,1RFEF,2025-2026,ESP,0.0,0.0,,Portero,2026-08-01 16:29:15.671466
3379,A. Blazic,Hércules,Hércules,GK,20,0,2027-06-30,10,1010,0,0.0,0,0.0,0.45,100.0,Germany,Germany,,0,0,no,1.07,0.09,100.0,0.18,100.0,0.0,0.0,0.0,0.98,1.45,0.0,0,0.0,0,0.0,0.18,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.18,100.0,0.0,0.0,0.0,12.65,0.09,0.09,18.0,84.65,8.55,68.75,0.0,0.0,8.82,98.99,12.74,97.9,5.26,52.54,29.13,51.24,0.0,0.0,0.0,0.0,0.0,0.0,1.96,59.09,0.09,0.0,0.09,0.0,0.0,0.0,4.1,60.87,8,0.71,41,3.65,4,80.49,10.75,0.96,2.75,0.245,0.0,0.71,,,,0.0,0,0.0,1RFEF,2025-2026,ESP,0.0,0.18,https://images.fotmob.com/image_resources/logo/teamlogo/8570.png,Portero,2026-08-01 16:29:15.671466
3380,H. Hiobi Ntola,Unionistas de Salamanca,Unionistas de Salamanca,LB,20,0,,1,38,0,0.0,0,0.0,,,Cameroon,Cameroon,,0,0,no,,,,,,,0.0,,,5.45,,1,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.39,48.58,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,0,0.0,1RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6629.png,Lateral,2026-08-01 16:29:15.671466
3381,Selton Sánchez,Athletic Club,Athletic Bilbao,"AMF, RCMF, LDMF",19,0,2029-06-30,8,471,0,0.26,0,0.48,21.4,44.64,Spain,Spain,unknown,0,0,no,7.07,7.45,53.85,0.19,0.0,0.38,0.58,0.0,2.68,4.08,1.53,0,0.0,0,0.0,2.87,0.0,0,0.0,0.05,0,0.0,8,1.53,0.0,0.0,0.0,0.38,100.0,0.38,100.0,0.0,0.0,0.0,3.63,63.16,10.13,41.51,1.91,2.48,0.0,29.43,0.76,2.68,41.08,81.86,12.99,72.06,5.92,90.32,14.52,89.47,37.07,83.51,3.82,65.0,17.32,28.39,0.09,0.0,0.19,0.76,25.0,0.19,7.45,79.49,3.82,60.0,1.15,16.67,2.29,0.19,5.92,77.42,0,,0,,0,0.0,0.0,0.0,,,0.76,,0.0,0.0,0.0,0.0,0,0.0,1RFEF,2025-2026,ESP,1.34,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Centrocampista,2026-08-01 16:29:15.671466
3382,A. Izagirre Cestona,Athletic Bilbao,Athletic Bilbao,"RCB, LCB",22,0,2026-06-30,11,570,0,0.48,0,0.0,16.11,64.71,Spain,Spain,,0,0,no,11.53,5.84,75.68,7.42,59.57,0.16,0.22,0.95,6.95,9.71,1.58,0,0.0,0,0.0,0.16,0.0,0,0.0,0.08,0,0.0,4,0.63,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.0,0.47,0.32,0.0,22.89,0.32,0.16,39.32,77.11,20.53,63.85,2.37,100.0,13.58,96.51,30.95,87.76,8.37,37.74,26.75,35.43,0.0,0.0,0.0,0.0,0.0,0.0,7.58,62.5,0.79,40.0,0.32,0.0,0.16,0.0,10.89,63.77,0,,0,,0,0.0,0.0,0.0,,,2.37,,0.0,0.0,0.0,0.0,0,0.0,1RFEF,2025-2026,ESP,0.0,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Central,2026-08-01 16:29:15.671466
3383,M. Cabrera Paéz,Antequera,Antequera,"LW, CF, LAMF",21,0,,3,32,0,0.0,0,0.0,,,Spain,Spain,,0,0,no,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.74,0.0,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,0,0.0,1RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Extremo,2026-08-01 16:29:15.671466
3384,Alejandro Palop,Teruel,Teruel,GK,22,0,,4,396,0,0.0,0,0.0,0.23,100.0,Spain,Spain,,182,67,no,1.59,0.0,0.0,0.23,100.0,0.0,0.0,0.0,1.59,2.06,0.0,1,0.23,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14,0.0,0.0,12.27,64.81,10.0,56.82,0.0,0.0,2.05,100.0,3.64,100.0,8.64,50.0,41.06,48.44,0.0,0.0,0.0,0.0,0.0,0.0,2.95,38.46,0.23,0.0,0.0,0.0,0.0,0.0,4.55,80.0,4,0.91,12,2.73,2,66.67,2.98,0.68,-1.02,-0.232,0.0,1.36,,,,0.0,0,0.0,1RFEF,2025-2026,ESP,0.0,0.23,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Portero,2026-08-01 16:29:15.671466
3385,Edu Sánchez,Antequera,Antequera,LB,20,0,,23,1212,0,0.13,0,0.94,14.33,48.19,Spain,Spain,izquierdo,179,70,no,9.43,7.13,61.46,2.08,46.43,0.0,0.0,0.15,5.05,7.58,0.67,1,0.07,0,0.0,1.71,0.0,0,0.0,0.01,0,0.0,5,0.37,0.0,0.0,0.0,2.97,47.5,2.9,48.72,0.07,0.0,0.45,1.04,28.57,3.19,34.88,0.22,0.59,0.0,18.71,0.74,0.74,28.96,71.28,16.34,66.36,3.79,96.08,6.39,80.23,20.27,81.32,5.72,48.05,23.09,31.26,0.07,0.0,0.0,0.0,0.0,0.22,5.27,60.56,2.3,54.84,0.37,20.0,0.07,1.63,9.28,68.8,0,,0,,0,0.0,0.0,0.0,,,0.59,,0.0,0.0,0.0,0.07,0,0.0,1RFEF,2025-2026,ESP,0.74,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Lateral,2026-08-01 16:29:15.671466
3386,Du Yuezheng,Chongqing Tongliang Long,Marbella,CF,20,0,2027-06-30,9,231,2,0.44,0,0.0,22.21,31.58,China PR,China PR,unknown,185,75,si,3.12,1.95,40.0,6.62,41.18,1.17,2.57,0.0,1.17,2.57,0.78,1,0.39,0,0.0,1.95,0.78,2,0.78,0.17,1,0.39,4,1.56,50.0,50.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,1.95,60.0,8.57,22.73,2.73,0.39,0.0,7.01,0.78,1.56,9.35,79.17,2.73,71.43,2.73,85.71,1.56,75.0,8.96,82.61,0.0,0.0,10.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.39,100.0,0.0,0.0,0.39,0.0,0.78,100.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0,0.0,1RFEF,2025-2026,ESP,0.0,,https://images.fotmob.com/image_resources/logo/teamlogo/5822.png,Delantero,2026-08-01 16:29:15.671466
3387,Azael García,Racing Ferrol,Racing Ferrol,"LAMF, LCMF, AMF",22,0,2026-06-30,18,544,0,0.32,0,0.01,17.04,36.89,Spain,Spain,,0,0,no,4.47,4.14,56.0,1.16,0.0,0.0,0.0,0.0,2.15,4.02,0.66,2,0.33,0,0.0,2.81,0.0,0,0.0,0.05,0,0.0,4,0.66,75.0,0.0,0.0,2.32,28.57,1.82,18.18,0.5,66.67,0.33,3.81,43.48,9.93,33.33,2.32,3.14,0.83,26.47,0.99,1.32,37.22,83.56,10.42,74.6,9.43,91.23,9.26,82.14,34.25,88.41,0.66,25.0,15.97,8.85,0.0,0.0,0.0,0.17,0.0,0.33,1.99,66.67,1.99,50.0,0.17,0.0,1.32,0.83,4.14,60.0,0,,0,,0,0.0,0.0,0.0,,,0.17,,0.0,0.0,0.0,0.33,0,0.0,1RFEF,2025-2026,ESP,0.33,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Extremo,2026-08-01 16:29:15.671466
3388,Noah Ukwuije,Atlético Sanluqueño,Atlético Sanluqueño,RCB,18,0,2026-06-30,18,1814,0,0.32,0,0.0,13.79,61.51,Spain,Spain,,0,0,si,7.14,5.46,65.45,4.56,56.52,0.05,0.07,0.35,3.52,5.3,1.04,4,0.2,0,0.0,0.25,0.0,0,0.0,0.02,0,0.0,5,0.25,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.05,100.0,0.0,0.35,57.14,1.34,66.67,0.45,0.25,0.05,17.02,0.25,0.5,28.93,76.67,12.25,59.51,2.13,90.7,12.55,89.33,22.08,84.49,6.8,51.09,24.75,43.69,0.0,0.0,0.0,0.0,0.0,0.0,5.21,49.52,0.55,36.36,0.4,37.5,0.15,0.05,6.6,64.66,0,,0,,0,0.0,0.0,0.0,,,1.54,,0.0,0.0,0.0,0.0,0,0.0,1RFEF,2025-2026,ESP,0.0,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Central,2026-08-01 16:29:15.671466
3389,L. Simon Pecharroman,Atlético Sanluqueño,Atlético Sanluqueño,CF,20,0,,11,526,0,0.58,1,0.55,20.02,27.35,Spain,Spain,unknown,0,0,si,4.62,4.62,62.96,4.45,15.38,0.17,0.28,0.17,1.54,2.52,1.37,1,0.17,0,0.0,1.03,0.0,0,0.0,0.1,0,0.0,6,1.03,33.33,0.0,0.17,0.51,33.33,0.17,0.0,0.34,50.0,0.0,1.37,37.5,4.28,16.0,1.03,0.34,0.17,5.3,1.54,0.34,9.07,64.15,3.42,45.0,1.2,85.71,3.08,72.22,7.87,69.57,0.68,25.0,20.02,6.72,0.09,0.0,0.0,0.17,0.0,0.17,1.37,50.0,1.2,42.86,0.34,0.0,0.34,0.17,1.37,62.5,0,,0,,0,0.0,0.0,0.0,,,0.17,,0.17,0.0,0.0,0.17,0,0.0,1RFEF,2025-2026,ESP,0.51,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Delantero,2026-08-01 16:29:15.671466
3390,Usher Lobede Mum,Atlético Sanluqueño,Atlético Sanluqueño,"LW, LAMF",21,0,,13,893,1,1.12,0,0.22,16.73,40.96,Spain,Spain,unknown,0,0,si,4.43,4.43,52.27,2.32,43.48,0.2,0.32,0.0,1.91,3.0,0.81,4,0.4,1,0.1,1.91,0.1,1,0.1,0.11,1,0.1,10,1.01,30.0,10.0,0.0,2.12,14.29,2.02,15.0,0.1,0.0,0.1,3.33,39.39,7.66,36.84,2.72,1.81,0.2,12.4,2.32,1.41,16.63,73.33,2.02,65.0,5.14,88.24,5.44,66.67,14.11,82.14,0.71,42.86,16.65,16.15,0.02,0.1,0.0,0.1,0.0,0.0,0.71,42.86,1.71,29.41,0.1,0.0,0.81,0.3,1.11,72.73,0,,0,,0,0.0,0.0,0.0,,,0.1,,0.0,0.0,0.0,0.0,0,0.0,1RFEF,2025-2026,ESP,0.6,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Extremo,2026-08-01 16:29:15.671466
3391,A. Bargalló,Atlético Sanluqueño,Atlético Sanluqueño,LB,20,0,2026-06-30,2,141,0,0.0,0,0.0,17.87,64.29,Spain,Spain,unknown,0,0,no,12.77,8.3,69.23,1.28,100.0,0.0,0.0,1.91,7.02,9.43,0.64,0,0.0,0,0.0,1.28,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.28,0.0,1.28,0.0,0.0,0.0,0.0,2.55,50.0,5.74,44.44,0.0,0.64,0.0,17.23,0.64,0.64,30.64,70.83,16.6,61.54,2.55,100.0,8.3,69.23,24.89,79.49,5.11,37.5,24.62,44.61,0.0,0.0,0.0,0.0,0.0,0.0,3.83,33.33,0.64,0.0,0.64,0.0,0.0,0.0,8.3,46.15,0,,0,,0,0.0,0.0,0.0,,,0.64,,0.0,0.0,0.0,0.0,0,0.0,1RFEF,2025-2026,ESP,0.0,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Lateral,2026-08-01 16:29:15.671466
